seed,method,group,name,n,covered,coverage,ci_low,ci_high,avg_set_size,status
0,split,ALL,everyone,39133,35345,0.9032019012086986,0.9002295735421808,0.9061142444302559,1.1817903048577927,OK
0,split,1,Male,20593,18542,0.9004030495799543,0.8962320080559313,0.904460663404225,1.1861312096343417,OK
0,split,2,Female,18540,16803,0.9063106796116505,0.9020252719895379,0.9104681589584869,1.1769687162891047,OK
0,mondrian,ALL,everyone,39133,35357,0.9035085477729793,0.9005403441359812,0.9064167208577121,1.1833490915595533,OK
0,mondrian,1,Male,20593,18675,0.9068615548972953,0.9028102387075331,0.9107975865922046,1.2037585587335502,OK
0,mondrian,2,Female,18540,16682,0.8997842502696871,0.895371924436338,0.9040707340055122,1.1606796116504854,LOW
1,split,ALL,everyone,39133,35258,0.9009787136176628,0.897976753750738,0.9039210232244121,1.1803337336774589,OK
1,split,1,Male,20574,18427,0.8956449888208419,0.8913871619678688,0.8997906497977297,1.1829979585885098,FAIL
1,split,2,Female,18559,16831,0.9068915351042621,0.9026199501907926,0.911035137552819,1.1773802467805377,OK
1,mondrian,ALL,everyone,39133,35290,0.9017964377890783,0.8988053229855958,0.9047277794326102,1.180895919045307,OK
1,mondrian,1,Male,20574,18554,0.9018178283270146,0.8976705921198311,0.9058511248748907,1.1990862253329444,OK
1,mondrian,2,Female,18559,16736,0.9017727248235358,0.8974007317269392,0.9060183706682472,1.1607306428148068,OK
2,split,ALL,everyone,39133,35297,0.9019753149515753,0.8989865808562402,0.9049042489997532,1.1813558888917282,OK
2,split,1,Male,20729,18615,0.898017270490617,0.8938174800320091,0.9021050607210077,1.185971344493222,LOW
2,split,2,Female,18404,16682,0.9064333840469463,0.9021342857259497,0.9106035652633332,1.1761573570962833,OK
2,mondrian,ALL,everyone,39133,35307,0.9022308537551427,0.8992455259009852,0.9051563431500346,1.1809725806863771,OK
2,mondrian,1,Male,20729,18670,0.9006705581552414,0.8965183231779401,0.9047100361129912,1.1931111003907569,OK
2,mondrian,2,Female,18404,16637,0.9039882634209955,0.8996407004269301,0.9082076972917182,1.1673005868289503,OK
3,split,ALL,everyone,39133,35298,0.9020008688319321,0.8990124750835994,0.9049294586919928,1.1823524902256408,OK
3,split,1,Male,20661,18520,0.8963748124485746,0.8921389333346382,0.9004987910852598,1.1846958036881081,LOW
3,split,2,Female,18472,16778,0.9082936336076224,0.9040400122671991,0.9124182166661011,1.1797314854915548,OK
3,mondrian,ALL,everyone,39133,35312,0.9023586231569264,0.8993750007364176,0.9052823879113118,1.1829657833542024,OK
3,mondrian,1,Male,20661,18643,0.9023280576932384,0.8981990711753087,0.9063434400389638,1.2007163254440734,OK
3,mondrian,2,Female,18472,16669,0.9023928107405803,0.8980223163936935,0.9066361614671705,1.1631117366825465,OK
4,split,ALL,everyone,39133,35090,0.8966856617177318,0.893627769156228,0.8996845489033366,1.176602867145376,FAIL
4,split,1,Male,20779,18497,0.8901775831368208,0.885847534690388,0.8943981295126489,1.1776312623321623,FAIL
4,split,2,Female,18354,16593,0.9040536122915985,0.8997012923537087,0.9082774315159813,1.1754385964912282,OK
4,mondrian,ALL,everyone,39133,35085,0.8965578923159482,0.8934983603464721,0.899558438094134,1.1751974037257558,FAIL
4,mondrian,1,Male,20779,18659,0.8979739159728573,0.8937785093967542,0.9020576051672207,1.196929592376919,LOW
4,mondrian,2,Female,18354,16426,0.8949547782499727,0.8904289954318968,0.8993549954388035,1.1505938759943337,FAIL
5,split,ALL,everyone,39133,35141,0.8979889096159251,0.8949478213193799,0.9009707968265726,1.1768584059489433,LOW
5,split,1,Male,20642,18479,0.8952136420889448,0.8909554260359164,0.8993601865735057,1.1801182056002326,FAIL
5,split,2,Female,18491,16662,0.9010870153047429,0.8966936263434994,0.9053538101570175,1.173219404034395,OK
5,mondrian,ALL,everyone,39133,35104,0.8970434160427261,0.8939901214579226,0.9000376515322305,1.1737919403061354,LOW
5,mondrian,1,Male,20642,18583,0.900251913574266,0.8960831890035363,0.9043075240285251,1.1944579013661467,OK
5,mondrian,2,Female,18491,16521,0.8934616840625169,0.8889256937686313,0.8978735200067797,1.1507219728516576,FAIL
6,split,ALL,everyone,39133,35265,0.90115759078016,0.8981579979377193,0.9040975064799335,1.1838346152863313,OK
6,split,1,Male,20603,18518,0.8988011454642528,0.8946022864464996,0.9028870918095655,1.1896811144008155,LOW
6,split,2,Female,18530,16747,0.9037776578521317,0.8994410921545869,0.9079870365981287,1.1773340528872098,OK
6,mondrian,ALL,everyone,39133,35253,0.9008509442158792,0.8978472954379106,0.903794961934828,1.1836301842434773,OK
6,mondrian,1,Male,20603,18597,0.9026355385138086,0.8985062806036777,0.9066507828872533,1.2016696597582877,OK
6,mondrian,2,Female,18530,16656,0.8988667026443605,0.8944357792960329,0.9031720088268241,1.1635725849973018,LOW
7,split,ALL,everyone,39133,35379,0.9040707331408274,0.9011101137448515,0.9069712374461726,1.1805637186006694,OK
7,split,1,Male,20784,18636,0.8966512702078522,0.8924330341331499,0.900758191917045,1.1810527328714395,LOW
7,split,2,Female,18349,16743,0.9124747942667175,0.9082928634382783,0.9165254641010175,1.1800098097988991,OK
7,mondrian,ALL,everyone,39133,35387,0.9042751641836813,0.9013173102778124,0.9071728722550059,1.18071704188281,OK
7,mondrian,1,Male,20784,18689,0.8992013086989993,0.8950282707524309,0.9032623071631224,1.1886547344110854,LOW
7,mondrian,2,Female,18349,16698,0.9100223445419369,0.905789505780443,0.9141247168189073,1.1717259796174178,OK
8,split,ALL,everyone,39133,35265,0.90115759078016,0.8981579979377193,0.9040975064799335,1.1811259039685176,OK
8,split,1,Male,20790,18653,0.8972101972101972,0.8930024188043372,0.901306534650428,1.183982683982684,LOW
8,split,2,Female,18343,16612,0.9056315760780679,0.9013091681913121,0.9098248957032593,1.1778880226789512,OK
8,mondrian,ALL,everyone,39133,35278,0.9014897912247974,0.8984946021975265,0.9044252531820559,1.1809725806863771,OK
8,mondrian,1,Male,20790,18813,0.9049062049062049,0.9008378560424353,0.9088609231004621,1.2042809042809042,OK
8,mondrian,2,Female,18343,16465,0.8976176198004688,0.8931401022028372,0.9019686374835458,1.1545548710679823,LOW
9,split,ALL,everyone,39133,35188,0.8991899419926916,0.8961644742358315,0.9021560282590049,1.1800526409935348,LOW
9,split,1,Male,20706,18503,0.8936057181493287,0.8893263378977693,0.8977742318252776,1.1801893171061528,FAIL
9,split,2,Female,18427,16685,0.9054648070765724,0.9011491610898293,0.9096520093588913,1.179899061160254,OK
9,mondrian,ALL,everyone,39133,35142,0.8980144634962819,0.8949737062030919,0.9009960158656259,1.177650576240002,LOW
9,mondrian,1,Male,20706,18619,0.8992079590456873,0.8950270359670751,0.9032764170894944,1.1965130879938182,LOW
9,mondrian,2,Female,18427,16523,0.8966733597438541,0.892188596777083,0.9010325049034674,1.1564552016063385,LOW
10,split,ALL,everyone,39133,35123,0.897528939769504,0.894481903366475,0.9005168441664086,1.1782894232489203,LOW
10,split,1,Male,20654,18401,0.8909170136535296,0.8865861491678874,0.8951374997185918,1.1812239759852814,FAIL
10,split,2,Female,18479,16722,0.9049190973537529,0.9005988639854595,0.9091114250846248,1.175009470209427,OK
10,mondrian,ALL,everyone,39133,35156,0.8983722178212762,0.8953361007095325,0.901349076275866,1.180998134566734,LOW
10,mondrian,1,Male,20654,18540,0.8976469449017139,0.8934328099630592,0.9017487773474917,1.2018011039023917,LOW
10,mondrian,2,Female,18479,16616,0.8991828562151631,0.8947516831012068,0.9034879628193235,1.1577466313112181,LOW
11,split,ALL,everyone,39133,35213,0.8998287890016099,0.896811683233368,0.9027864173015654,1.1789282702578388,LOW
11,split,1,Male,20589,18442,0.8957210160765458,0.8914661030688261,0.8998638234184066,1.1810675603477585,FAIL
11,split,2,Female,18544,16771,0.9043895599654875,0.900066650764352,0.9085851830119924,1.1765530629853322,OK
11,mondrian,ALL,everyone,39133,35237,0.9004420821301715,0.8974330390002806,0.9033915556412679,1.1818925203792197,OK
11,mondrian,1,Male,20589,18575,0.9021807761426004,0.8980417305303052,0.9062058611107128,1.201321093787945,OK
11,mondrian,2,Female,18544,16662,0.89851164797239,0.8940757373973242,0.902822149912184,1.1603213977566869,LOW
12,split,ALL,everyone,39133,35189,0.8992154958730483,0.8961903618826939,0.9021812445339864,1.1802570720363887,LOW
12,split,1,Male,20681,18444,0.8918330835066003,0.8875206689375621,0.896035002912527,1.1822929258739907,FAIL
12,split,2,Female,18452,16745,0.9074897030132235,0.9032174982416898,0.911632987696931,1.1779752872317364,OK
12,mondrian,ALL,everyone,39133,35230,0.9002632049676743,0.8972518066632186,0.9032150605317797,1.1817136432167226,OK
12,mondrian,1,Male,20681,18559,0.8973937430491755,0.893177926316109,0.9014974768099755,1.1975726512257627,LOW
12,mondrian,2,Female,18452,16671,0.9034792976371125,0.8991275440999613,0.9077034202302907,1.163938868415348,OK
13,split,ALL,everyone,39133,35318,0.9025119464390667,0.8995303725794168,0.9054336395836537,1.1861855722791506,OK
13,split,1,Male,20960,18839,0.8988072519083969,0.8946451010823813,0.9028584187053377,1.1864503816793892,LOW
13,split,2,Female,18173,16479,0.9067847906234524,0.9024649481351228,0.9109739557138534,1.1858801518736588,OK
13,mondrian,ALL,everyone,39133,35296,0.9019497610712187,0.8989606866903834,0.9048790392459899,1.1855978330309458,OK
13,mondrian,1,Male,20960,18955,0.9043416030534351,0.9002796678571953,0.9082909922471857,1.203196564885496,OK
13,mondrian,2,Female,18173,16341,0.8991911076872283,0.8947221760187035,0.9035318388408232,1.1653001705827326,LOW
14,split,ALL,everyone,39133,35226,0.9001609894462475,0.8971482466503409,0.9031142048604649,1.1753762808882529,OK
14,split,1,Male,20677,18518,0.8955844658316003,0.8913363994564181,0.8997209444409766,1.1771049958891522,FAIL
14,split,2,Female,18456,16708,0.9052882531426094,0.9009725725580453,0.9094757494154561,1.1734395318595578,OK
14,mondrian,ALL,everyone,39133,35234,0.9003654204891013,0.8973553676376483,0.9033159152412158,1.1750951882043288,OK
14,mondrian,1,Male,20677,18667,0.902790540213764,0.8986716723069776,0.9067957598226676,1.1964501620157664,OK
14,mondrian,2,Female,18456,16567,0.8976484612050282,0.8931855284546909,0.9019856617411215,1.1511703511053315,LOW
15,split,ALL,everyone,39133,35326,0.9027163774819207,0.8997375385070754,0.9056353050085729,1.1857256024327294,OK
15,split,1,Male,20548,18472,0.8989682694179483,0.8947666848451097,0.903056589856887,1.1871715008759978,LOW
15,split,2,Female,18585,16854,0.9068603712671509,0.9025912170925334,0.9110017327103422,1.1841269841269841,OK
15,mondrian,ALL,everyone,39133,35289,0.9017708839087215,0.8987794292496571,0.9047025692487799,1.184447908414893,OK
15,mondrian,1,Male,20548,18581,0.9042729219388749,0.9001683745015862,0.9082626777349398,1.2040101226396729,OK
15,mondrian,2,Female,18585,16708,0.8990045735808447,0.8945829459283204,0.90330091338714,1.1628194780737153,LOW
16,split,ALL,everyone,39133,35209,0.8997265734801829,0.8967081272924848,0.9026855575568765,1.1788260547364118,LOW
