target,shifted,method,group,name,n,covered,coverage,ci_low,ci_high,avg_set_size,status
CA,False,split,ALL,everyone,39133,35345,0.9032019012086986,0.9002295735421808,0.9061142444302559,1.1817903048577927,OK
CA,False,split,1,White,24092,21730,0.9019591565664951,0.8981347807065702,0.9056862527419417,1.1839199734351653,OK
CA,False,split,2,Black,1698,1503,0.8851590106007067,0.8690298781312327,0.8999427970384415,1.2249705535924618,FAIL
CA,False,split,3,American Indian,271,244,0.9003690036900369,0.8583574155329036,0.9333105827164945,1.1623616236162362,OK
CA,False,split,4,Alaska Native,2,2,1.0,0.15811388300839305,1.0,1.0,OK
CA,False,split,5,AI/AN tribes,89,83,0.9325842696629213,0.859020435308865,0.9748594714318786,1.2134831460674158,OK
CA,False,split,6,Asian,6597,5935,0.8996513566772776,0.892147451710463,0.9067998239752147,1.1964529331514324,LOW
CA,False,split,7,Native Hawaiian/PI,143,125,0.8741258741258742,0.8083761523164165,0.9236630967638977,1.1958041958041958,LOW
CA,False,split,8,Some other race,4548,4167,0.9162269129287599,0.9077952598841399,0.9241194454676667,1.131046613896218,OK
CA,False,split,9,Two or more races,1693,1556,0.9190785587714116,0.9050535813133449,0.9316292552306441,1.1878322504430006,OK
CA,False,mondrian,ALL,everyone,39133,35344,0.9031763473283418,0.9002036763997828,0.906089037654073,1.182429151866711,OK
CA,False,mondrian,1,White,24092,21712,0.901212020587747,0.8973750191347805,0.9049519255460073,1.1825087165864188,OK
CA,False,mondrian,2,Black,1698,1517,0.8934040047114252,0.8777455404958585,0.9076872067280713,1.2550058892815077,LOW
CA,False,mondrian,3,American Indian,271,244,0.9003690036900369,0.8583574155329036,0.9333105827164945,1.1402214022140222,OK
CA,False,mondrian,4,Alaska Native,2,2,1.0,0.15811388300839305,1.0,2.0,OK
CA,False,mondrian,5,AI/AN tribes,89,79,0.8876404494382022,0.8030591860934606,0.9447855430002281,1.1123595505617978,LOW
CA,False,mondrian,6,Asian,6597,5957,0.9029862058511444,0.89558901444889,0.9100249202208106,1.205093224192815,OK
CA,False,mondrian,7,Native Hawaiian/PI,143,124,0.8671328671328671,0.8003103054814619,0.9180716369316415,1.1818181818181819,LOW
CA,False,mondrian,8,Some other race,4548,4155,0.9135883905013192,0.905044577215921,0.9215966318586382,1.1244503078276165,OK
CA,False,mondrian,9,Two or more races,1693,1554,0.9178972238629651,0.9037886003177251,0.9305359976169596,1.1854695806261075,OK
TX,True,split,ALL,everyone,135924,120101,0.8835893587593067,0.8818725035280157,0.8852898314737829,1.202421941673288,FAIL
TX,True,split,1,White,105835,93181,0.8804365285586053,0.8784666658844128,0.8823855170002887,1.205461331317617,FAIL
